"Kap1"	"Pol2ra"	"TCFL2"	"ZNF263"	"ELK4"	"CTCF_chr22"	"H3K4me3_chr22"
0	0	0	0	0	0	0
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.05	0.025	0.00534091
0.005	0	0.0277778	0.005	0.05	0.025	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0277778	0.005	0.1	0.05	0.00534091
0.005	0	0.0138889	0.005	0.1	0.05	0.00534091
0.005	0	0.00819672	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.05	0.025	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.0163934	0.005	0.1	0.05	0.00534091
0.005	0	0.00819672	0.005	0.1	0.05	0.00534091
0.005	0	0.0357143	0.005	0.1	0.05	0.00534091
0.005	0	0.0714286	0.005	0.05	0.025	0.00534091
0.005	0	0.0714286	0.005	0.05	0.025	0.00534091
